company_name,customer_name,company_high_tech_market_segment,company_founded,company_estimated_revenue_range,company_number_of_employees,company_total_funding_amount,company_number_of_investors,company_country,company_number_of_portfolio,customer_high_tech_market_segment,customer_founded,customer_estimated_revenue_range,customer_number_of_employees,customer_total_funding_amount,customer_number_of_investors,customer_country,customer_number_of_portfolio,label
Cymbet,Elenion Technologies LLC,semiconductor,2000-01-01,$10M to $50M,11-50,0.0,10.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,51-100,0.0,1.0,United States,0.0,0
Triad Semiconductor,Unispectral,semiconductor,2002-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,0
CEKO Sensors ApS,Multiphoton Optics GmbH,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,semiconductor,2013-09-13,$1M to $10M,01-10,0.0,5.0,Germany,0.0,0
Cymbet,Bosch Rexroth Corporation,semiconductor,2000-01-01,$10M to $50M,11-50,0.0,10.0,United States,0.0,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,0
Impedans,Evident Technologies,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Matrix Industries,Samplify Systems,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2006-01-01,$10M to $50M,11-50,0.0,4.0,United States,0.0,0
GaN Systems,TimeLab,semiconductor,2008-01-01,$10M to $50M,11-50,0.0,7.0,Canada,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Jeeva Wireless,Silicon Wave,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,0
H2OPTX,VSORA,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,0
GrAI Matter Labs,Microlytic,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Extoll GmbH.,Impedans,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,1.0,Ireland,0.0,0
Beneq,Oxford PV,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,3.0,Finland,0.0,semiconductor,2010-01-01,$10M to $50M,51-100,0.0,10.0,United Kingdom,0.0,0
Lytid,GaN Systems,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,semiconductor,2008-01-01,$10M to $50M,11-50,0.0,7.0,Canada,0.0,0
Usound,Unispectral,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,0
Satin Technologies,GreenRay Solar,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
ENrG,Integrated Detector Electronics SA,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,0
Reveal Design Automation,TRINAMIC Motion Control,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,1998-09-01,$10M to $50M,11-50,0.0,1.0,Germany,0.0,0
Samplify Systems,SmartKem,semiconductor,2006-01-01,$10M to $50M,11-50,0.0,4.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Tactus Technology,Singulus Technologies AG,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
Nantero,Luxcore,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,0
AnDAPT,EpiCrystals,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Wave Computing,FocalSpec Ltd,semiconductor,2010-12-12,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
Silicon Radar,Codasip,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,0
Particle,AZZURRO Semiconductors,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,0
NantWorks,PSI Semicon Services,semiconductor,2010-01-01,$100M to $500M,51-100,0.0,1.0,United States,0.0,semiconductor,1946-01-01,$1M to $10M,1001-5000,0.0,1.0,United States,0.0,0
Movellus,Silicon Genesis,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,0
Tortuga logic,Ikon Semiconductor,semiconductor,2014-01-01,$1M,11-50,0.0,4.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,0
MMB Networks,Movellus,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,semiconductor,2014-04-02,$1M,01-10,0.0,3.0,United States,0.0,0
eSilicon,Kalray,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,8.0,France,0.0,0
Uhnder,SuVolta,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,51-100,0.0,6.0,United States,0.0,0
CNEX Labs,Nexdot,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,3.0,France,0.0,0
Paragraf,Revasum,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2016-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Cambridge Consultants,Microlytic,semiconductor,1960-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Caliopa,CLK Design Automation,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,0
Particle,Alien Technology,semiconductor,2012-11-01,$1M to $10M,101-500,0.0,19.0,United States,0.0,semiconductor,1994-01-01,$10M to $50M,101-500,0.0,18.0,United States,0.0,0
Widetronix,Palma Ceia SemiDesign  Inc.,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,semiconductor,2012-04-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Exnodes Inc.,EpiCrystals,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Finland,0.0,0
PSI Semicon Services,Satin Technologies,semiconductor,1946-01-01,$1M to $10M,1001-5000,0.0,1.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Translarity,Sentons,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
CISSOID,eSilicon,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,0
Cavendish Kinetics,Dover Microsystems,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,semiconductor,2017-05-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Rockley Photonics,Jeeva Wireless,semiconductor,2013-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2015-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Scifiniti,R2 Semiconductor,semiconductor,2007-01-01,$1M,11-50,0.0,5.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
Eagleyard Photonics GmbH,CNEX Labs,semiconductor,2002-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,0
Tela Innovations,UbiQD,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,semiconductor,2014-02-26,$1M,11-50,0.0,1.0,United States,0.0,0
CISSOID,DFMSim,semiconductor,2000-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Hailo,Flex Logix Technologies  Inc.,semiconductor,2017-02-02,$1M to $10M,51-100,0.0,7.0,Israel,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,3.0,United States,0.0,0
Nantero,BinaryWave,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
TeamLinux,Oryx Vision,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,0
e-peas,ScandiNova,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,0
SmartKem,CLK Design Automation,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,0
Matrix Industries,GCT Semiconductor,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Silicon Wave,MMB Networks,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,Canada,0.0,0
NantWorks,Usound,semiconductor,2010-01-01,$100M to $500M,51-100,0.0,1.0,United States,0.0,electrical & electronics,2014-01-01,$1M to $10M,51-100,0.0,3.0,Austria,0.0,0
Semitech Semiconductor,Oryx Vision,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,0
Silicon Cloud,Lynx Software Technologies,semiconductor,2013-08-01,$1M to $10M,01-10,0.0,3.0,Singapore,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
Brite Semiconductor,MSG Lithoglas,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Peraso Technologies,ReVibe Energy,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,semiconductor,2014-01-01,$1M,01-10,0.0,6.0,Sweden,0.0,0
Nanotronics Imaging,Anokiwave,semiconductor,2010-01-01,$1M to $10M,01-10,0.0,3.0,United States,0.0,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,0
Lime Microsystems,HexaTech,semiconductor,2005-03-01,$1M to $10M,11-50,0.0,6.0,United Kingdom,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,0
LucidPort Technology,Nantero,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2001-01-01,$10M to $50M,51-100,0.0,13.0,United States,0.0,0
GCT Semiconductor,Viviota,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,semiconductor,2016-05-01,$1M,11-50,0.0,2.0,United States,0.0,0
Oryx Vision,Excillum,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,0
Singulus Technologies AG,Sentons,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
CEKO Sensors ApS,TeraView,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,0
Semitech Semiconductor,e-peas,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,7.0,Belgium,0.0,0
Altobeam,Think Silicon S.A.,semiconductor,2007-04-01,$10M to $50M,101-500,0.0,6.0,China,0.0,semiconductor,2007-06-01,$1M to $10M,11-50,0.0,2.0,Greece,0.0,0
Paragraf,Netronome Systems,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2003-01-01,$1M to $10M,101-500,0.0,10.0,United States,0.0,0
Ensphere Solutions,Floadia Corporation,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Japan,0.0,0
Sckipio Technologies,Helyssen,semiconductor,2012-01-01,$10M to $50M,51-100,0.0,10.0,Israel,0.0,semiconductor,2003-01-01,$1M,01-10,0.0,1.0,Switzerland,0.0,0
Singulus Technologies AG,Paragraf,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Translarity,Sheaumann Laser,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
HexaTech,Vayyar,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,9.0,Israel,0.0,0
SuVolta,Paragraf,semiconductor,2006-01-01,$1M to $10M,51-100,0.0,6.0,United States,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
Poly-Flow Engineering,BinaryWave,semiconductor,2005-01-01,$10M to $50M,101-500,0.0,4.0,United States,0.0,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,0
Brite Semiconductor,ENrG,semiconductor,2008-01-01,$50M to $100M,51-100,0.0,4.0,China,0.0,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
XSI Semi Conductors,Exnodes Inc.,semiconductor,2012-01-01,$10M to $50M,11-50,0.0,1.0,India,0.0,semiconductor,2014-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,0
Cooledge Lighting,IQ-Analog Corporation,semiconductor,2009-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,semiconductor,2004-12-28,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Silicon Genesis,Eblana Photonics,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,Ireland,0.0,0
Alereon,Silicon Genesis,semiconductor,2003-04-01,$10M to $50M,51-100,0.0,11.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,0
Telink,TimeLab,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Intel,Singulus Technologies AG,semiconductor,1968-07-18,$10B+,10001+,0.0,2.0,United States,0.0,semiconductor,1996-01-01,$1M to $10M,101-500,0.0,1.0,Germany,0.0,0
Amalfi Semiconductor,Quintic,semiconductor,2003-01-01,$1M to $10M,51-100,0.0,4.0,United States,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
Unispectral,Tempo Automation,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,4.0,Israel,0.0,semiconductor,2013-07-01,$1M to $10M,101-500,0.0,17.0,United States,0.0,0
R2 Semiconductor,Keyotee,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
CNEX Labs,EpiGaN,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,0
Phoseon Technology,Silicon Wave,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,semiconductor,1997-01-01,$10M to $50M,101-500,0.0,21.0,United States,0.0,0
Cavendish Kinetics,Ferroelectric Memory Company,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,01-10,0.0,3.0,Germany,0.0,0
ACME Advanced Materials,MSG Lithoglas,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,2010-12-13,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Silicon Radar,TeamLinux,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,semiconductor,1993-01-01,$1M to $10M,01-10,0.0,1.0,United States,0.0,0
Skorpios Technologies,Lynx Software Technologies,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,5.0,United States,0.0,semiconductor,1988-01-01,$10M to $50M,51-100,0.0,9.0,United States,0.0,0
DFMSim,Sensichips,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2013-08-01,$1M to $10M,11-50,0.0,1.0,Italy,0.0,0
VSORA,Bosch Rexroth Corporation,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,France,0.0,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,0
Bosch Rexroth Corporation,Excillum,semiconductor,2001-05-01,$10M to $50M,10001+,0.0,1.0,United States,0.0,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,1.0,Sweden,0.0,0
Tactus Technology,LucidPort Technology,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,5.0,United States,0.0,semiconductor,2004-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
GreenRay Solar,Lytid,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,0
Critical Links,Octasic,semiconductor,2006-11-01,$1M to $10M,101-500,0.0,4.0,United States,0.0,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,0
EoPlex Technologies,Microlytic,semiconductor,2001-01-03,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2009-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,0
Telink,Widetronix,semiconductor,2010-01-01,$1M,11-50,0.0,1.0,China,0.0,semiconductor,2003-01-01,$1M,01-10,0.0,3.0,United States,0.0,0
Codasip,Avogy,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Paragraf,Semitech Semiconductor,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,0
Octasic,GreenRay Solar,semiconductor,1998-01-01,$1M to $10M,51-100,0.0,1.0,Canada,0.0,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
NXTSENS Microsystems,GrAI Matter Labs,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,Canada,0.0,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,0
Phoseon Technology,Synapse,semiconductor,2002-01-01,$10M to $50M,51-100,0.0,4.0,United States,0.0,semiconductor,2003-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
BinaryWave,AnDAPT,semiconductor,2010-01-01,$10M to $50M,11-50,0.0,1.0,United States,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
eSilicon,Tela Innovations,semiconductor,1999-11-01,$50M to $100M,101-500,0.0,11.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,7.0,United States,0.0,0
Anokiwave,Codasip,semiconductor,1999-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2014-01-01,$1M to $10M,101-500,0.0,8.0,Germany,0.0,0
Polymer Holding Corporation,SatixFy,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,semiconductor,2012-01-01,$10M to $50M,101-500,0.0,2.0,Israel,0.0,0
Cavendish Kinetics,Lion Semiconductor Inc,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
Motia,DFMSim,semiconductor,2000-01-01,$1M to $10M,01-10,0.0,5.0,United States,0.0,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,0
Tempow,Tortuga logic,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,semiconductor,2014-01-01,$1M,11-50,0.0,4.0,United States,0.0,0
R2 Semiconductor,NextInput,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,11.0,United States,0.0,0
Caliopa,Breadware Inc,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,3.0,Belgium,0.0,semiconductor,2015-09-01,$1M,11-50,0.0,5.0,United States,0.0,0
Silicon Radar,Keyotee,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,semiconductor,2001-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,0
Cavendish Kinetics,Ascatron,semiconductor,1994-01-01,$1M to $10M,11-50,0.0,8.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,3.0,Sweden,0.0,0
Qualtera,Active-Semi International Inc.,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,France,0.0,semiconductor,2004-01-01,$10M to $50M,101-500,0.0,1.0,United States,0.0,0
Ion Beam Services,Vectron International,semiconductor,1987-01-01,$1M,51-100,0.0,2.0,France,0.0,semiconductor,1966-01-01,$10M to $50M,501-1000,0.0,1.0,United States,0.0,0
Luxcore,Nexdot,semiconductor,1999-01-01,$1M to $10M,51-100,0.0,2.0,United States,0.0,semiconductor,2016-01-01,$1M to $10M,11-50,0.0,3.0,France,0.0,0
H2OPTX,Polymer Holding Corporation,semiconductor,2012-11-01,$1M,01-10,0.0,1.0,United States,0.0,semiconductor,1979-01-01,$10M to $50M,51-100,0.0,1.0,United States,0.0,0
Peraso Technologies,Dresden Silicon,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,semiconductor,2005-01-01,$1M to $10M,01-10,0.0,1.0,Germany,0.0,0
Peraso Technologies,CLK Design Automation,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,6.0,Canada,0.0,semiconductor,2004-01-01,$10M to $50M,11-50,0.0,3.0,United States,0.0,0
Nanotron Technologies,Tempow,semiconductor,1991-01-01,$1M to $10M,11-50,0.0,5.0,Germany,0.0,semiconductor,2016-02-02,$1M to $10M,11-50,0.0,10.0,France,0.0,0
XMOS,TriLumina Corp,semiconductor,2005-01-01,$1M to $10M,51-100,0.0,12.0,United Kingdom,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,0
Tehuti Networks,GrAI Matter Labs,semiconductor,2003-01-01,$1M to $10M,11-50,0.0,2.0,Israel,0.0,semiconductor,2016-01-01,$1M,11-50,0.0,3.0,France,0.0,0
Credo Semiconductor,ScandiNova,semiconductor,2008-01-01,$1M to $10M,11-50,0.0,1.0,United States,0.0,semiconductor,2001-01-01,$1M,51-100,0.0,1.0,Sweden,0.0,0
Ferfics,Acconeer,semiconductor,2007-01-01,$1M to $10M,11-50,0.0,3.0,Ireland,0.0,semiconductor,2012-01-01,$1M to $10M,11-50,0.0,4.0,Sweden,0.0,0
Integrated Detector Electronics SA,Extoll GmbH.,semiconductor,1992-01-01,$1M to $10M,11-50,0.0,1.0,Norway,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,1.0,Germany,0.0,0
Oryx Vision,Matrix Industries,semiconductor,2009-01-01,$10M to $50M,11-50,0.0,6.0,Israel,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
Plunify,Paragraf,semiconductor,2009-11-09,$1M to $10M,11-50,0.0,3.0,Singapore,0.0,semiconductor,2015-01-01,$1M to $10M,11-50,0.0,5.0,United Kingdom,0.0,0
DFMSim,Lytid,semiconductor,2005-01-01,$1M,11-50,0.0,1.0,United States,0.0,semiconductor,2015-01-01,$1M,01-10,0.0,1.0,France,0.0,0
Silicon Genesis,Sentons,semiconductor,1997-01-01,$10M to $50M,11-50,0.0,6.0,United States,0.0,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,0
GCT Semiconductor,Reveal Design Automation,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,semiconductor,2009-01-01,$1M,11-50,0.0,2.0,United States,0.0,0
ActLight,GCT Semiconductor,semiconductor,2011-01-01,$1M to $10M,01-10,0.0,8.0,Switzerland,0.0,semiconductor,1998-01-01,$10M to $50M,5001-10000,0.0,19.0,United States,0.0,0
Engim,Quintic,semiconductor,2001-01-01,$1M to $10M,11-50,0.0,4.0,United States,0.0,semiconductor,2006-09-29,$1M to $10M,51-100,0.0,3.0,United States,0.0,0
Avogy,CEKO Sensors ApS,semiconductor,2010-01-01,$1M to $10M,11-50,0.0,2.0,United States,0.0,semiconductor,2015-01-01,$1M to $10M,01-10,0.0,2.0,Denmark,0.0,0
Kalray,ACME Advanced Materials,semiconductor,2008-01-01,$1M to $10M,51-100,0.0,8.0,France,0.0,semiconductor,2013-01-01,$1M,01-10,0.0,1.0,United States,0.0,0
GreenRay Solar,Ateeda,semiconductor,2006-01-01,$1M to $10M,01-10,0.0,2.0,United States,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,3.0,United Kingdom,0.0,0
CNEX Labs,SponDoolies-Tech,semiconductor,2013-01-01,$1M to $10M,101-500,0.0,13.0,United States,0.0,semiconductor,2013-01-01,$1M,11-50,0.0,4.0,Israel,0.0,0
TriLumina Corp,Silicon Radar,semiconductor,2011-01-01,$1M to $10M,11-50,0.0,6.0,United States,0.0,semiconductor,2006-01-01,$1M to $10M,11-50,0.0,3.0,Germany,0.0,0
BlueShift Technologies,Semitech Semiconductor,semiconductor,2004-01-01,$1M to $10M,11-50,0.0,3.0,United States,0.0,semiconductor,2010-05-01,$1M to $10M,11-50,0.0,3.0,Australia,0.0,0
TeraView,Ateeda,semiconductor,2001-01-01,$10M to $50M,11-50,0.0,9.0,United Kingdom,0.0,semiconductor,2005-01-01,$1M to $10M,11-50,0.0,3.0,United Kingdom,0.0,0
